"source","TC","step","substep","method","cmd_keyword","replace","lastlog_keyword","para_name","add_cmd","message","waittime","diff_session","notice"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.12. [TC-CADMIN-1.12] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissioner]","2","1","getlastlog","","","Manual pairing code:","ManualCode7","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.12. [TC-CADMIN-1.12] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissioner]","2","2","replace","35484132896","var:ManualCode7","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.12. [TC-CADMIN-1.12] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissioner]","3","1","getlastlog","","","Manual pairing code:","ManualCode8","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.12. [TC-CADMIN-1.12] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissioner]","3","2","replace","35484132896","var:ManualCode8","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.12. [TC-CADMIN-1.12] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissioner]","6","1","waittime","","","","","","","310","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.12. [TC-CADMIN-1.12] Open commissioning window on DUT twice using ECM then BCM [DUT - Commissioner]","9","1","waittime","","","","","","","510","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.1. [TC-CADMIN-1.1] Administrator Behavior using ECM [DUT - Commissioner]","2","1","getlastlog","","","Manual pairing code:","ManualCode9","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.1. [TC-CADMIN-1.1] Administrator Behavior using ECM [DUT - Commissioner]","4.a","1","replace","35998938564","var:ManualCode9","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.1. [TC-CADMIN-1.1] Administrator Behavior using ECM [DUT - Commissioner]","9","1","getlastlog","","","Manual pairing code:","ManualCode10","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.1. [TC-CADMIN-1.1] Administrator Behavior using ECM [DUT - Commissioner]","11","1","replace","34995354639","var:ManualCode10","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.1. [TC-CADMIN-1.1] Administrator Behavior using ECM [DUT - Commissioner]","13","1","waittime","","","","","","","190","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.1. [TC-CADMIN-1.1] Administrator Behavior using ECM [DUT - Commissioner]","15","1","getlastlog","","","Manual pairing code:","ManualCode11","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.1. [TC-CADMIN-1.1] Administrator Behavior using ECM [DUT - Commissioner]","16","1","replace","34995354639","var:ManualCode11","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-G-2.2] Commands - AddGroup, ViewGroup, RemoveGroup, RemoveAllGroups [DUT-Server]","2a","1","replace","./chip-tool groupkeymanagement read group-table 1 0","./chip-tool groupkeymanagement read group-table 1 1","","","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","2","1","getlastlog","","","Manual pairing code:","ManualCode12","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","3","1","replace","./chip-tool pairing code 1 35484132896  --commissioner-name beta","./chip-tool pairing code 2 35484132896  --commissioner-name beta","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","3","1","replace","35484132896","var:ManualCode12","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","4","1","getlastlog","","","Manual pairing code:","ManualCode13","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","5","1","replace","./chip-tool pairing code 1 35484132896  --commissioner-name gamma","./chip-tool pairing code 3 35484132896  --commissioner-name gamma","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","5","1","replace","35484132896","var:ManualCode13","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","6","1","replace","./chip-tool operationalcredentials read fabrics 1 0 --fabric-filtered 0  --commissioner-name beta","./chip-tool operationalcredentials read fabrics 1 0 --fabric-filtered 0","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","8","1","replace","./chip-tool  basicinformation write node-label te5new 1 0 --commissioner-name beta","./chip-tool  basicinformation write node-label te5new 2 0 --commissioner-name beta","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","8","2","replace","./chip-tool  basicinformation read node-label 1 0 --commissioner-name beta","./chip-tool  basicinformation read node-label 2 0 --commissioner-name beta","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","11","1","getlastlog","","","Manual pairing code:","ManualCode14","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","12","1","replace","./chip-tool pairing code 1 36217551633  --commissioner-name beta","./chip-tool pairing code 2 36217551633  --commissioner-name beta","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","12","1","replace","36217551633","var:ManualCode14","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.17. [TC-CADMIN-1.17] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissioner]","13","1","replace","./chip-tool operationalcredentials read fabrics 1 0 --fabric-filtered 0  --commissioner-name beta","./chip-tool operationalcredentials read fabrics 2 0 --fabric-filtered 0  --commissioner-name beta","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.18. [TC-CADMIN-1.18] Removing Fabrics from DUT and Fabric index enumeration using BCM [DUT - Commissioner]","3","1","replace","20202021","py:--passcode","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.18. [TC-CADMIN-1.18] Removing Fabrics from DUT and Fabric index enumeration using BCM [DUT - Commissioner]","5","1","replace","20202021","py:--passcode","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.18. [TC-CADMIN-1.18] Removing Fabrics from DUT and Fabric index enumeration using BCM [DUT - Commissioner]","12","1","replace","20202021","py:--passcode","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.7. [TC-CADMIN-1.7] Commissioning window handling timeout and revocation using ECM [DUT - Commissioner]","2","1","getlastlog","","","Manual pairing code:","ManualCode15","","","310","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.7. [TC-CADMIN-1.7] Commissioning window handling timeout and revocation using ECM [DUT - Commissioner]","4","1","replace","36366524220","var:ManualCode15","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.7. [TC-CADMIN-1.7] Commissioning window handling timeout and revocation using ECM [DUT - Commissioner]","5","1","getlastlog","","","Manual pairing code:","ManualCode16","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.7. [TC-CADMIN-1.7] Commissioning window handling timeout and revocation using ECM [DUT - Commissioner]","7","1","replace","34921141778","var:ManualCode16","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.7. [TC-CADMIN-1.7] Commissioning window handling timeout and revocation using ECM [DUT - Commissioner]","10","1","getlastlog","","","Manual pairing code:","ManualCode17","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.7. [TC-CADMIN-1.7] Commissioning window handling timeout and revocation using ECM [DUT - Commissioner]","11","1","replace","35256543344","var:ManualCode17","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.7. [TC-CADMIN-1.7] Commissioning window handling timeout and revocation using ECM [DUT - Commissioner]","12","1","replace","35256543344","var:ManualCode17","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.8. [TC-CADMIN-1.8] Commissioning window handling timeout and revocation using BCM [DUT - Commissioner]","2","1","waittime","","","","","","","310","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.8. [TC-CADMIN-1.8] Commissioning window handling timeout and revocation using BCM [DUT - Commissioner]","4","1","replace","20202021","py:--passcode","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.8. [TC-CADMIN-1.8] Commissioning window handling timeout and revocation using BCM [DUT - Commissioner]","7","1","replace","20202021","py:--passcode","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.8. [TC-CADMIN-1.8] Commissioning window handling timeout and revocation using BCM [DUT - Commissioner]","11","1","replace","20202021","py:--passcode","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.8. [TC-CADMIN-1.8] Commissioning window handling timeout and revocation using BCM [DUT - Commissioner]","12","1","replace","20202021","py:--passcode","","","","","","","Kenny"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","3.2.4. [TC-ACT-3.2] Functionality with client as DUT","0","3","skip","","","","","","","","","Kenny"
"Matter_V_1_4_TestPlanVerificationSteps_Auto.xlsx","4.1.13. [TC-CADMIN-1.13] Open commissioning window twice on DUT using BCM then ECM [DUT - Commissionee]","7","1","replace","34970112332","py:--manual-code","","","","","","","Pei"
"Matter_V_1_4_TestPlanVerificationSteps_Auto.xlsx","4.1.13. [TC-CADMIN-1.13] Open commissioning window twice on DUT using BCM then ECM [DUT - Commissionee]","8","2","replace","34970112332","py:--manual-code","","","","","","","Pei"
"Matter_V_1_4_TestPlanVerificationSteps_Auto.xlsx","4.1.13. [TC-CADMIN-1.13] Open commissioning window twice on DUT using BCM then ECM [DUT - Commissionee]","11","1","waittime","","","","","","","","","Pei"
"Matter_V_1_4_TestPlanVerificationSteps_Auto.xlsx","4.1.13. [TC-CADMIN-1.13] Open commissioning window twice on DUT using BCM then ECM [DUT - Commissionee]","17","1","waittime","","","","","","","","","Pei"
"Matter_V_1_4_TestPlanVerificationSteps_Auto.xlsx","4.1.13. [TC-CADMIN-1.13] Open commissioning window twice on DUT using BCM then ECM [DUT - Commissionee]","19","1","waittime","","","","","","","","","Pei"
"Matter_V_1_4_TestPlanVerificationSteps_Auto.xlsx","4.1.15. [TC-CADMIN-1.15] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissionee]","2","1","getlastlog","","","Manual pairing code:","ManualCode3","","","","","Pei"
"Matter_V_1_4_TestPlanVerificationSteps_Auto.xlsx","4.1.15. [TC-CADMIN-1.15] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissionee]","3","1","replace","36217551633","var:ManualCode3","","","","","","","Pei"
"Matter_V_1_4_TestPlanVerificationSteps_Auto.xlsx","4.1.15. [TC-CADMIN-1.15] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissionee]","4","1","getlastlog","","","Manual pairing code:","ManualCode4","","","","","Pei"
"Matter_V_1_4_TestPlanVerificationSteps_Auto.xlsx","4.1.15. [TC-CADMIN-1.15] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissionee]","5","1","replace","36217551633","var:ManualCode4","","","","","","","Pei"
"Matter_V_1_4_TestPlanVerificationSteps_Auto.xlsx","4.1.15. [TC-CADMIN-1.15] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissionee]","11","1","getlastlog","","","Manual pairing code:","ManualCode5","","","","","Pei"
"Matter_V_1_4_TestPlanVerificationSteps_Auto.xlsx","4.1.15. [TC-CADMIN-1.15] Removing Fabrics from DUT and Fabric index enumeration using ECM [DUT - Commissionee]","12","1","replace","36217551633","var:ManualCode5","","","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-ACL-2.10] Persistence","3","1","getlastlog","","","Manual pairing code:","ManualCode18","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-ACL-2.10] Persistence","3","2","replace","36253605617","var:ManualCode18","","","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","3.2.7. [TC-ACL-2.7] Extension multi-fabric","3","1","getlastlog","","","Manual pairing code:","ManualCode19","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","3.2.7. [TC-ACL-2.7] Extension multi-fabric","3","2","replace","36253605617","var:ManualCode19","","","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-ACL-2.8] ACL multi-fabric","3","1","getlastlog","","","Manual pairing code:","ManualCode20","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-ACL-2.8] ACL multi-fabric","3","2","replace","36253605617","var:ManualCode20","","","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-I-2.2] Primary functionality with server as DUT","4a","1","waittime","","","","","","","6","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.16. [TC-CADMIN-1.16] Removing Fabrics from DUT and Fabric index enumeration using BCM [DUT - Commissionee]","3","1","replace","","","","","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.22. [TC-CADMIN-1.22] Open commissioning window - durations max and max+1 [ECM] [DUT - Commissionee]","2","1","waittime","","","","","","","911","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.24. [TC-CADMIN-1.24] Open commissioning window - durations min and min-1 [ECM] [DUT - Commissionee]","2","1","waittime","","","","","","","191","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.21. [TC-CADMIN-1.21] Open commissioning window - durations max and max+1 [BCM] [DUT - Commissionee]","2","1","waittime","","","","","","","911","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.23. [TC-CADMIN-1.23] Open commissioning window - durations min and min-1 [BCM] [DUT - Commissionee]","2","1","waittime","","","","","","","191","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.5. [TC-CADMIN-1.5] Commissioning window handling timeout and revocation using ECM [DUT - Commissionee]","2","1","getlastlog","","","Manual pairing code:","ManualCode21","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.5. [TC-CADMIN-1.5] Commissioning window handling timeout and revocation using ECM [DUT - Commissionee]","3","1","waittime","","","","","","","210","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.5. [TC-CADMIN-1.5] Commissioning window handling timeout and revocation using ECM [DUT - Commissionee]","4","1","replace","36177160937","var:ManualCode21","","","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.5. [TC-CADMIN-1.5] Commissioning window handling timeout and revocation using ECM [DUT - Commissionee]","5","1","getlastlog","","","Manual pairing code:","ManualCode22","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.5. [TC-CADMIN-1.5] Commissioning window handling timeout and revocation using ECM [DUT - Commissionee]","7","1","replace","36177160937","var:ManualCode22","","","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.5. [TC-CADMIN-1.5] Commissioning window handling timeout and revocation using ECM [DUT - Commissionee]","11","1","getlastlog","","","Manual pairing code:","ManualCode23","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.5. [TC-CADMIN-1.5] Commissioning window handling timeout and revocation using ECM [DUT - Commissionee]","13","1","replace","36177160937","var:ManualCode23","","","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","4.1.5. [TC-CADMIN-1.5] Commissioning window handling timeout and revocation using ECM [DUT - Commissionee]","15","1","replace","36177160937","var:ManualCode23","","","","","","","Pei"
"Matter_V_1_3_TestPlanVerificationSteps_Auto.xlsx","[TC-BINFO-2.1] Attributes [DUT-Server]","1","1","skip","","","","","","","","","Pei"
"Matter_V_1_4_TestPlanVerificationSteps_Auto.xlsx","4.1.5. [TC-CADMIN-1.5] Commissioning window handling timeout and revocation using ECM [DUT - Commissionee]","2","1","getlastlog","","","Manual pairing code:","ManualCode24","","","","","Pei"
